Date,Tool,Model,Provider,"Input Tokens","Output Tokens","Credits Used",Status
"2026-06-04 11:40",—,gemini-2.5-flash,google,3333,144,3.48,completed
"2026-06-04 11:36",—,gemini-2.5-flash,google,1795,1523,3.32,completed
"2026-06-04 11:35",—,gemini-2.5-flash,google,1721,71,1.79,completed
"2026-06-04 11:35",—,gemini-2.5-flash,google,1644,75,1.72,completed
"2026-06-04 11:35",—,gemini-2.5-flash,google,1543,88,1.63,completed
"2026-06-04 11:34",—,gemini-2.5-flash,google,1446,78,1.52,completed
"2026-06-03 18:51",—,gemini-2.5-flash,google,276,1162,1.44,completed
"2026-06-03 18:50",—,gemini-2.5-flash,google,213,50,0.26,completed
"2026-06-03 18:32",—,gemini-2.5-flash,google,123,78,0.20,completed
"2026-06-03 18:31",—,gemini-2.5-flash,google,33,81,0.11,completed
"2026-06-03 18:31",—,gpt-4o,openai,32,1,0.33,completed
"2026-06-03 18:21",—,gpt-4o,openai,32,1,0.33,completed
"2026-06-03 18:20",—,gemini-2.5-flash,google,65,215,0.28,completed
"2026-06-03 18:16",—,gpt-4o-mini,openai,54,1,0.06,completed
"2026-06-03 18:14",—,gpt-4o-mini,openai,44,1,0.05,completed
"2026-05-19 12:16",—,gpt-4o-mini,openai,0,0,0.00,failed
"2026-05-19 11:11",—,gpt-4o-mini,openai,0,0,0.00,failed
"2026-05-19 11:11",—,gpt-4o-mini,openai,0,0,0.00,failed
"2026-05-19 11:11",—,gpt-4o-mini,openai,0,0,0.00,failed
"2026-05-19 11:11",—,gpt-4o-mini,openai,0,0,0.00,failed
